sep=,
#,Player,Team,GP,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,TO%,%FT,%SF,Score%
1,"Ajay Singh","Westmont Warriors",25,26.6,73,103,1.411,23,50,73,68.5,68.5,0,4.1,4.1,68.5
2,"Cly Griffith","Westmont Warriors",12,41,48,63,1.313,17,31,48,64.6,64.6,0,6.3,6.3,64.6
3,"Jared Brown","Westmont Warriors",27,10.4,33,41,1.242,13,20,33,60.6,60.6,0,3,3,60.6
4,"Jalen Townsell","Westmont Warriors",27,24.8,67,82,1.224,26,41,67,61.2,61.2,0,1.5,1.5,61.2
5,"Nate Meithof","Westmont Warriors",26,19.1,77,93,1.208,32,45,77,58.4,58.4,0,6.5,6.5,58.4
6,"Sebastian Reynoso","Westmont Warriors",25,39.7,29,34,1.172,13,16,29,55.2,55.2,0,6.9,6.9,55.2
7,"Cade Roth","Westmont Warriors",20,9.9,15,14,0.933,8,7,15,46.7,46.7,0,0,0,46.7
8,"Kyler Warren","Westmont Warriors",26,44,44,38,0.864,25,19,44,43.2,43.2,0,2.3,2.3,43.2
9,"Tyler Austin","Westmont Warriors",27,45.2,47,38,0.809,29,18,47,38.3,38.3,0,6.4,6.4,38.3
