sep=,
#,Player,Team,GP,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,TO%,%FT,%SF,Score%
1,"Ajay Singh","Westmont Warriors",25,47.1,129,181,1.403,36,78,114,68.4,68.4,0,17.8,17.8,70.5
2,"Cly Griffith","Westmont Warriors",12,62.4,73,101,1.384,19,36,55,65.5,65.5,0,30.1,30.1,72.6
3,"Nate Meithof","Westmont Warriors",26,38.4,155,212,1.368,47,82,129,63.6,63.6,0,25.8,25.8,69.7
4,"Jalen Townsell","Westmont Warriors",27,44.1,119,156,1.311,36,66,102,64.7,64.7,0,17.6,17.6,66.4
5,"Jared Brown","Westmont Warriors",27,24.3,77,100,1.299,27,38,65,58.5,58.5,0,19.5,19.5,64.9
6,"Sebastian Reynoso","Westmont Warriors",25,64.4,47,57,1.213,17,23,40,57.5,57.5,0,19.1,19.1,61.7
7,"Kyler Warren","Westmont Warriors",26,73,73,78,1.068,31,35,66,53,53,0,16.4,16.4,54.8
8,"Cade Roth","Westmont Warriors",20,11.8,18,19,1.056,8,9,17,52.9,52.9,0,5.6,5.6,55.6
9,"Tyler Austin","Westmont Warriors",27,60.6,63,57,0.905,33,26,59,44.1,44.1,1.6,11.1,11.1,44.4
