sep=,
#,Player,Team,GP,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,TO%,%FT,%SF,Score%
1,"Nate Meithof","Westmont Warriors",26,21.3,47,46,0.979,24,21,45,46.7,46.7,0,4.3,4.3,48.9
2,"Jared Brown","Westmont Warriors",27,15.2,33,31,0.939,18,15,33,45.5,45.5,0,3,3,45.5
3,"Cly Griffith","Westmont Warriors",12,44.2,19,16,0.842,11,7,18,38.9,38.9,0,5.3,5.3,42.1
4,"Ajay Singh","Westmont Warriors",25,18.8,19,12,0.632,13,6,19,31.6,31.6,0,0,0,31.6
