0,1,Nate Meithof,Westmont Warriors,26,100,510,492,0.965,197,170,367,46.3,53.7,16.7,14.9,10.8,43.9,96.47058823529412,43.40384615384615
1,2,Jared Brown,Westmont Warriors,27,100,381,391,1.026,163,139,302,46.0,56.5,13.6,8.1,5.0,43.3,102.6246719160105,41.7962962962963
2,3,Ajay Singh,Westmont Warriors,25,100,325,317,0.975,125,131,256,51.2,55.5,14.5,9.2,8.0,45.5,97.53846153846155,45.14
3,3,Jalen Townsell,Westmont Warriors,27,100,308,317,1.029,136,117,253,46.2,54.5,9.1,10.4,7.1,45.1,102.92207792207793,41.7962962962963
4,5,Cade Roth,Westmont Warriors,20,100,219,198,0.904,78,66,144,45.8,59.4,26.5,8.7,4.6,36.5,90.41095890410958,56.425
5,6,Cly Griffith,Westmont Warriors,12,100,150,154,1.027,45,53,98,54.1,58.2,18.7,18.7,15.3,50.7,102.66666666666666,94.04166666666667
6,7,Tyler Austin,Westmont Warriors,27,100,133,95,0.714,60,39,99,39.4,43.4,19.5,9.0,6.0,33.8,71.42857142857143,41.7962962962963
7,8,Kyler Warren,Westmont Warriors,26,100,130,91,0.7,53,38,91,41.8,42.9,21.5,12.3,10.8,35.4,70.0,43.40384615384615
8,9,Sebastian Reynoso,Westmont Warriors,25,100,101,75,0.743,37,28,65,43.1,46.9,24.8,12.9,9.9,36.6,74.25742574257426,45.14
